ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
RBRS11	Rio Bravo Renda Residencial	Tijolo: Desenvolvimento	Rio Bravo Investimentos	0,0064	R$0,42	R$125,74 M	R$90,49	02/03/2020	Renda Gestão Ativa	1.389.471	0,00059	0,00536	0,00536	10
RBRY11	BR Crédito Imobiliário Estruturado	Papel: CRIs	BTG Pactual	0,0101	R$1,00	R$351,29 M	R$103,41	17/04/2018	Títulos e Valores Mobiliários Gestão Ativa	3.397.153	0,00130	0,00787	0,00787	10
RBTS11	RB Capital TFO Situs	Tijolo: Desenvolvimento	Oliveira Trust	0,0363	R$36,34	R$56,98 M	R$1.008,06	18/01/2018	Híbrido Gestão Ativa	56.525	-1.0	-1.0	0	0
RBVA11	Rio Bravo Renda Varejo	Tijolo: Bancário	Rio Bravo Investimentos	0,0104	R$0,99	R$1,22 B	R$105,13	28/08/2013	Renda Gestão Ativa	11.588.199	0,00110	0,00833	0,00833	10
RBVO11	Rio Bravo Crédito Imobiliário II	Papel: CRIs	Rio Bravo Investimentos	0,0027	R$0,04	R$11,58 M	R$22,46	19/06/2012	Não Informado	515.824	0,00128	0,00261	0,00261	10
RCFA11	Grupo RCFA	Tijolo: Desenvolvimento	Terra Investimentos DTVM	0,0	R$0,00	R$18,16 M	R$1,56	13/06/2017	Desenvolvimento para Venda Gestão Passiva	11.678.533	-1.0	-1.0	0	0
RCFF11	BR Desenvolvimento Comercial Feeder FOF	Papel: Fundo de Fundos	BRL Trust DTVM	0,0209	R$2,00	R$29,87 M	R$92,41	06/02/2020	Títulos e Valores Mobiliários Gestão Ativa	323.200	0,00000	0,02870	0,02870	1
RCRB11	Rio Bravo Renda Corporativa	Tijolo: Escritórios	Rio Bravo Investimentos	0,0072	R$0,95	R$716,62 M	R$194,17	23/12/1999	Renda Gestão Ativa	3.690.695	0,00069	0,00553	0,00553	10
RCRI11B	RB Capital Rendimentos	Papel: CRIs	Oliveira Trust	0,0066	R$7,94	R$33,28 M	R$652,36	21/11/2017	Títulos e Valores Mobiliários Gestão Ativa	51.012	-1.0	-1.0	0	0
RDPD11	BB Renda de Papeis Imobiliários II	Papel: CRIs	Votorantim Asset Management	0,0085	R$0,50	R$75,68 M	R$70,20	28/12/2017	Títulos e Valores Mobiliários Gestão Ativa	1.078.042	0,00220	0,00655	0,00655	10
RECR11	REC Recebíveis Imobiliários	Papel: CRIs	BRL Trust DTVM	0,0111	R$1,08	R$1,84 B	R$95,18	21/07/2017	Títulos e Valores Mobiliários Gestão Ativa	19.380.744	0,00112	0,01060	0,01060	10
RECT11	UBS (BR) Office	Indefinido	BRL Trust DTVM	0,0086	R$0,53	R$756,38 M	R$92,47	20/12/2018	Híbrido Gestão Ativa	8.179.347	0,00070	0,00724	0,00724	10
RECX11	Rec Fundo de Fundos	Papel: Fundo de Fundos	BTG Pactual	0,011000000000000001	R$0,90	R$17,41 M	R$87,84	30/11/2020	Títulos e Valores Mobiliários Gestão Ativa	198.151	0,00098	0,00924	0,00924	7
